no,name,dzongkhag,village,phone,rooms,beds,email,license,profile_url,whatsapp,certification,source
1,Pema Lhazom Homestay,Bumthang,,17292177,5,10,pemalhazom51@gmail.com,,,https://wa.me/97517292177,DOT certified VHS,DOT certified village homestay list
2,Dorjibee (Ugyen Lhamo) Homestay,Bumthang,,77661132,4,8,chimmidelker88@gmail.com,,,https://wa.me/97577661132,DOT certified VHS,DOT certified village homestay list
3,Sherab Doma Homestay,Bumthang,,17723673,4,8,kamdex@gmail.com,,,https://wa.me/97517723673,DOT certified VHS,DOT certified village homestay list
4,Dechen Gawa Homestay,Bumthang,,17291600,2,4,bumthangchakhar@gmail.com,,,https://wa.me/97517291600,DOT certified VHS,DOT certified village homestay list
5,Tshewang Choden Homestay,Bumthang,,77757909,3,6,,,,https://wa.me/97577757909,DOT certified VHS,DOT certified village homestay list
6,Sangay Dawa Homestay,Bumthang,,77351570,2,4,,,,https://wa.me/97577351570,DOT certified VHS,DOT certified village homestay list
7,Yeshi Wangmo Homestay,Bumthang,,17235076,4,8,,,,https://wa.me/97517235076,DOT certified VHS,DOT certified village homestay list
8,Lemo Homestay,Bumthang,,17670870,2,4,,,,https://wa.me/97517670870,DOT certified VHS,DOT certified village homestay list
9,Tshomo Homestay (Pangri),Bumthang,,17861095,4,8,,,,https://wa.me/97517861095,DOT certified VHS,DOT certified village homestay list
10,Tashi Wangmo / Ura (VHS),Bumthang,,77639828 / 17639828,4,8,,,,https://wa.me/97577639828,DOT certified VHS,DOT certified village homestay list
11,Tshomo Homestay (Dorjibee),Bumthang,,17649947,5,10,dekidrodu@gmail.com,,,https://wa.me/97517649947,DOT certified VHS,DOT certified village homestay list
12,Dechen Homestay,Bumthang,,17917619 / 17383434,4,8,,,,https://wa.me/97517917619,DOT certified VHS,DOT certified village homestay list
13,Yeshi Nidup Homestay,Bumthang,,17795211 / 17802028,3,6,,,,https://wa.me/97517795211,DOT certified VHS,DOT certified village homestay list
14,Ngawang Homestay,Bumthang,,17622222 / 17345565,3,6,Aimhightour1762@gmai.com,,,https://wa.me/97517622222,DOT certified VHS,DOT certified village homestay list
15,Sonam Choki Homestay,Chhukha,,17986512,4,8,,,,https://wa.me/97517986512,DOT certified VHS,DOT certified village homestay list
16,Gangkhap Homestay,Chhukha,,77700153,1,2,,,,https://wa.me/97577700153,DOT certified VHS,DOT certified village homestay list
17,Lhamo Homestay,Chhukha,,17933178,2,4,,,,https://wa.me/97517933178,DOT certified VHS,DOT certified village homestay list
18,Dekis Homestay,Chhukha,,77678937,3,6,,,,https://wa.me/97577678937,DOT certified VHS,DOT certified village homestay list
19,Kaydee Homestay,Chhukha,,17589430,1,2,,,,https://wa.me/97517589430,DOT certified VHS,DOT certified village homestay list
20,Sangay Lhaden Homestay,Dagana,,17538263 / 17937371,2,4,,,,https://wa.me/97517538263,DOT certified VHS,DOT certified village homestay list
21,Karma Homestay,Dagana,,17691632,2,4,,,,https://wa.me/97517691632,DOT certified VHS,DOT certified village homestay list
22,Namgay Homestay,Gasa,,17537744,4,8,,,,https://wa.me/97517537744,DOT certified VHS,DOT certified village homestay list
23,Chador Zangmo Homestay,Gasa,,17422868,4,8,,,,https://wa.me/97517422868,DOT certified VHS,DOT certified village homestay list
24,Karma Yuden Homestay,Gasa,,17408142,4,8,,,,https://wa.me/97517408142,DOT certified VHS,DOT certified village homestay list
25,Bagos (Chencho) Homestay,Gasa,,17817425,4,8,,,,https://wa.me/97517817425,DOT certified VHS,DOT certified village homestay list
26,Tashi Dechiling Homestay,Gasa,,17696921,4,8,sonamyounten87@gmail.com,,,https://wa.me/97517696921,DOT certified VHS,DOT certified village homestay list
27,Phub Dem Homestay,Haa,,77250421,2,4,,,,https://wa.me/97577250421,DOT certified VHS,DOT certified village homestay list
28,Namgay Wangmo Homestay,Haa,,77448319,3,6,,,,https://wa.me/97577448319,DOT certified VHS,DOT certified village homestay list
29,Kinley Wangchuk Homestay,Haa,,17654981,3,6,,,,https://wa.me/97517654981,DOT certified VHS,DOT certified village homestay list
30,Choden Homestay,Haa,,17657450,4,8,,,,https://wa.me/97517657450,DOT certified VHS,DOT certified village homestay list
31,Lhaki Homestay,Haa,,77639036,3,6,,,,https://wa.me/97577639036,DOT certified VHS,DOT certified village homestay list
32,Kinley Wangmo Homestay,Haa,,17810332,4,8,,,,https://wa.me/97517810332,DOT certified VHS,DOT certified village homestay list
33,Jam Tshering Homestay,Haa,,17617782,3,6,,,,https://wa.me/97517617782,DOT certified VHS,DOT certified village homestay list
34,Chhimmi Homestay,Haa,,77240938,4,8,,,,https://wa.me/97577240938,DOT certified VHS,DOT certified village homestay list
35,Ugyen Homestay,Haa,,77265817,5,10,,,,https://wa.me/97577265817,DOT certified VHS,DOT certified village homestay list
36,Pema Dema Homestay,Haa,,77209984,3,6,,,,https://wa.me/97577209984,DOT certified VHS,DOT certified village homestay list
37,Kelzang Dawa Homestay,Haa,,17610449,3,6,,,,https://wa.me/97517610449,DOT certified VHS,DOT certified village homestay list
38,Damcho Pem Homestay,Haa,,17628873 / 17648468,4,8,,,,https://wa.me/97517628873,DOT certified VHS,DOT certified village homestay list
39,Yangkula Homestay,Lhuentse,,17788454,5,10,,,,https://wa.me/97517788454,DOT certified VHS,DOT certified village homestay list
40,Tshering Mo Homestay,Lhuentse,,17576688,5,10,,,,https://wa.me/97517576688,DOT certified VHS,DOT certified village homestay list
41,Rinchen Yangtsho Homestay,Lhuentse,,17813058,3,6,,,,https://wa.me/97517813058,DOT certified VHS,DOT certified village homestay list
42,Chimi Yuden Homestay,Lhuentse,,17576688,2,4,,,,https://wa.me/97517576688,DOT certified VHS,DOT certified village homestay list
43,Norbu Homestay,Lhuentse,,17310774,3,6,,,,https://wa.me/97517310774,DOT certified VHS,DOT certified village homestay list
44,Norbu Lhaden Homestay,Lhuentse,,17700848 / 17932885,2,4,,,,https://wa.me/97517700848,DOT certified VHS,DOT certified village homestay list
45,Bumpa Dema Homestay,Lhuentse,,77714102 / 17303515,3,6,,,,https://wa.me/97577714102,DOT certified VHS,DOT certified village homestay list
46,Namgay Zam Homestay,Lhuentse,,17788383,2,4,,,,https://wa.me/97517788383,DOT certified VHS,DOT certified village homestay list
47,Tashi Pelmo Homestay,Lhuentse,,17695200,2,4,,,,https://wa.me/97517695200,DOT certified VHS,DOT certified village homestay list
48,Sonam Zangmo Homestay,Lhuentse,,17380638,2,4,,,,https://wa.me/97517380638,DOT certified VHS,DOT certified village homestay list
49,Tashi Chozom Homestay,Lhuentse,,17788394,3,6,,,,https://wa.me/97517788394,DOT certified VHS,DOT certified village homestay list
50,Kinzang Tobgay Homestay,Lhuentse,,17626618,4,8,,,,https://wa.me/97517626618,DOT certified VHS,DOT certified village homestay list
51,Deki Peldon Homestay,Lhuentse,,17814374,4,8,,,,https://wa.me/97517814374,DOT certified VHS,DOT certified village homestay list
52,Yoezer Homestay (Thridangbi),Mongar,,17644057,2,4,,,,https://wa.me/97517644057,DOT certified VHS,DOT certified village homestay list
53,Paro Village View Homestay,Paro,,77210636,3,6,,,,https://wa.me/97577210636,DOT certified VHS,DOT certified village homestay list
54,Ugyen Homestay,Paro,,77665376,4,8,,,,https://wa.me/97577665376,DOT certified VHS,DOT certified village homestay list
55,Terton Sherab Maebar Homestay,Paro,,17841344,2,3,,,,https://wa.me/97517841344,DOT certified VHS,DOT certified village homestay list
56,Deki Homestay,Paro,,17610851,3,6,,,,https://wa.me/97517610851,DOT certified VHS,DOT certified village homestay list
57,Gatana Homestay,Paro,,17580425,3,6,,,,https://wa.me/97517580425,DOT certified VHS,DOT certified village homestay list
58,Kinley Lhamo Homestay,Paro,,17609123,3,6,,,,https://wa.me/97517609123,DOT certified VHS,DOT certified village homestay list
