name,city,star_rating,category,room_type,meal_plan,high_season_inr,high_season_usd,low_season_inr,low_season_usd,off_season_inr,off_season_usd,phone,email
Gongkhar Hotel,Bumthang,3,comfort,Standard,BB,5000,70,4250,59.5,3500,49,3631288/17671035,gongkharhotel@gmail.com
Tobgayling Mebar Heritage,Haa,2,basic,Standard,BB,5000,70,4250,59.5,3500,49,17922151,
Wangjur Food and Lodging,Pemagatshel,1,basic,Standard,BB,5000,70,4250,59.5,3500,49,,
Hotel River Valley,Punakha,3,standard,Standard,BB,2650,38,2253,32.3,1855,26.6,02-584736/17114929,hotelrivervalleypunakha@gmail.com
Hotel Mayto,Thimphu,3,standard,Standard,BB,2650,38,2253,32.3,1855,26.6,77100771,maytohotel1@gmail.com
River Lodge,Bumthang,3,comfort,Standard,BB,5000,70,4250,59.5,3500,49,17677252,riverlodge20@gmil.com
Hotel Druk,Chhukha,3,standard,Standard,BB,2650,38,2253,32.3,1855,26.6,05252427/77190042,druk.phuentsholing@drukhotels.com
Ludrong Hotel,Thimphu,3,standard,Standard,BB,2650,38,2253,32.3,1855,26.6,02345678/17636314,ludronghotel@gmail.com
Ananda Resort,Paro,3,standard,Standard,BB,2650,38,2253,32.3,1855,26.6,08276670/77831582,info@anandaresortbhutan.com
Thimphu Deluxe,Thimphu,3,standard,Standard,BB,2650,38,2253,32.3,1855,26.6,17310086,rekha@neoly.enterprises
Paro Heritage,Paro,3,standard,Standard,BB,2650,38,2253,32.3,1855,26.6,17758800,
Hotel Classic Wood,Punakha,3,standard,Standard,BB,2650,38,2253,32.3,1855,26.6,17336921,hotelclassicwood@gmail.com
Bhutan Spirit Sanctuary,Paro,5,luxury,Standard,BB,55000,750,46750,637.5,38500,525,17288066,talent@bhutanspiritsanctuary.com
Ugyenling(BTCL),Bumthang,3,standard,Standard,BB,2650,38,2253,32.3,1855,26.6,3631369/17710081,hotelugyenling@gmail.com
Hotel Samye,Thimphu,3,standard,Standard,BB,2650,38,2253,32.3,1855,26.6,17127071/77190270,hotelsamye@gmail.com
Lemon Tree Hotel,Thimphu,4,premium,Standard,BB,5000,70,4250,59.5,3500,49,2365262,urth@lemontreehotels.com
Hotel Damisa,Thimphu,3,standard,Standard,BB,2650,38,2253,32.3,1855,26.6,975-329444/331270,
Hotel Gadhen Namgayling,Chhukha,3,standard,Standard,BB,2650,38,2253,32.3,1855,26.6,05-251637/38,tsheri.ongchuk@gmail.com
Mandala Resort,Paro,3,standard,Standard,BB,2650,38,2253,32.3,1855,26.6,08271997/17110542,bhutanmandalaresort@gmail.com
Bhutan Ventures Hospitality Pvt. Ltd (Six Senses),Wangdue Phodrang,5,luxury,Standard,BB,55000,750,46750,637.5,38500,525,2350775,tshering.phuntsho@sixsenses.com
Hotel Riverside Pvt.Ltd,Thimphu,3,standard,Standard,BB,2650,38,2253,32.3,1855,26.6,02338525/17563773,hotelriversidebhutan@gmail.com
Zeebar Resort,Samtse,3,standard,Standard,BB,2650,38,2253,32.3,1855,26.6,05-365930,zeebarresort@gmail.com
kaachi Grand,Paro,4,premium,Standard,BB,5000,70,4250,59.5,3500,49,17537171,hotelkaachigrand@gmail.com
Hotel Bhutan Home,Thimphu,3,standard,Standard,BB,2650,38,2253,32.3,1855,26.6,17609111,hbhthimphu@gmail.com
Leki Guest House,Bumthang,2,basic,Standard,BB,5000,70,4250,59.5,3500,49,17172094,
Norwangs Villa,Paro,3,standard,Standard,BB,2650,38,2253,32.3,1855,26.6,08271101/17991346,norwangsvilla@gmail.com
Sliver  Pine Boutique,Thimphu,,standard,Standard,BB,2650,31.55,2253,26.82,1855,22.09,,
33 Soksoom Hotel,Thimphu,3,standard,Standard,BB,2650,38,2253,32.3,1855,26.6,322007/339594,namselinghotel@gmail.com
Padma Gayul resort,Paro,3,standard,Standard,BB,2650,38,2253,32.3,1855,26.6,17608935,peabhutan@gmail.com
Hotel Jakar View,Bumthang,3,comfort,Standard,BB,5000,70,4250,59.5,3500,49,17637241,jakarviewbum@gmail.com
Mountain Resort,Bumthang,3,standard,Standard,BB,2650,38,2253,32.3,1855,26.6,03631225/17670668,mtlodge90@gmail.com
Zhiwa Ling Heritage,Paro,5,luxury,Standard,BB,55000,750,46750,637.5,38500,525,8271277/77482059,info@zhiwaling.com
Hotel Thimphu Towers,Thimphu,3,standard,Standard,BB,2650,38,2253,32.3,1855,26.6,335367,thimphutowers@gmail.com
Dewaling Hotel,Phuentsholing,,standard,Standard,BB,2500,35,2125,29.75,1750,24.5,,
Hotel Amodhara,Thimphu,3,standard,Standard,BB,2650,38,2253,32.3,1855,26.6,339609/339612,hotelamodhara@gmail.com
Paro Village Lodge(Himalayan Hotels & Lodges Pvt.Ltd),Paro,3,standard,Standard,BB,2650,38,2253,32.3,1855,26.6,332959,reservations@hhlbhutan.com
Taktshang Paradise,Paro,3,standard,Standard,BB,2650,38,2253,32.3,1855,26.6,17311680,taktshangparadise@gmail.com
Kuku Grand,Sarpang,3,standard,Standard,BB,2650,38,2253,32.3,1855,26.6,17440595,reservationkukugrand@gmail.com
Norbu Healing Hotel,Thimphu,2,basic,Standard,BB,5000,70,4250,59.5,3500,49,17638417,
Bhutan Resort Private Ltd(Amankora Resort),Paro,5,luxury,Standard,BB,55000,750,46750,637.5,38500,525,8272333,tnorbu@aman.com
Teenzlite,Paro,,standard,Standard,BB,3000,42,2550,35.7,2100,29.4,,
